Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
11/24/2015,Calgary Flames,3,Anaheim Ducks,5,,15688,152
11/24/2015,Ottawa Senators,7,Dallas Stars,4,,18532,151
11/25/2015,Anaheim Ducks,2,Arizona Coyotes,4,,11578,152
11/25/2015,Nashville Predators,3,Buffalo Sabres,2,,17871,144
11/25/2015,Edmonton Oilers,1,Carolina Hurricanes,4,,10911,138
11/25/2015,Ottawa Senators,5,Colorado Avalanche,3,,16570,150
11/25/2015,Boston Bruins,3,Detroit Red Wings,2,OT,20027,144
11/25/2015,Vancouver Canucks,3,Minnesota Wild,2,,18877,146
11/25/2015,Columbus Blue Jackets,2,New Jersey Devils,1,,13567,140
11/25/2015,Philadelphia Flyers,1,New York Islanders,3,,13027,144
11/25/2015,Montreal Canadiens,5,New York Rangers,1,,18006,148
11/25/2015,St. Louis Blues,3,Pittsburgh Penguins,4,OT,18569,146
11/25/2015,Chicago Blackhawks,5,San Jose Sharks,2,,17562,145
11/25/2015,Los Angeles Kings,1,Tampa Bay Lightning,2,SO,19092,166
11/25/2015,Winnipeg Jets,3,Washington Capitals,5,,18506,147
11/27/2015,Chicago Blackhawks,3,Anaheim Ducks,2,OT,17174,163
11/27/2015,Calgary Flames,1,Arizona Coyotes,2,OT,11495,152
11/27/2015,New York Rangers,3,Boston Bruins,4,,17565,153
11/27/2015,Carolina Hurricanes,1,Buffalo Sabres,4,,18052,138
11/27/2015,Pittsburgh Penguins,1,Columbus Blue Jackets,2,OT,18205,163
11/27/2015,Vancouver Canucks,2,Dallas Stars,3,SO,18532,161
11/27/2015,Edmonton Oilers,3,Detroit Red Wings,4,OT,20027,147
11/27/2015,New York Islanders,2,Florida Panthers,3,SO,14598,156
11/27/2015,Winnipeg Jets,3,Minnesota Wild,1,,19055,150
11/27/2015,Montreal Canadiens,3,New Jersey Devils,2,SO,16514,166
11/27/2015,Nashville Predators,2,Philadelphia Flyers,3,OT,19818,161
11/27/2015,Tampa Bay Lightning,2,Washington Capitals,4,,18506,158
11/28/2015,Ottawa Senators,3,Arizona Coyotes,4,,12727,154
11/28/2015,Winnipeg Jets,3,Colorado Avalanche,5,,16311,143
11/28/2015,Chicago Blackhawks,2,Los Angeles Kings,3,OT,18482,149
11/28/2015,Dallas Stars,4,Minnesota Wild,3,OT,19024,156
11/28/2015,New Jersey Devils,3,Montreal Canadiens,2,OT,21288,159
11/28/2015,Buffalo Sabres,4,Nashville Predators,1,,17217,156
11/28/2015,Philadelphia Flyers,3,New York Rangers,0,,18006,139
11/28/2015,Edmonton Oilers,3,Pittsburgh Penguins,2,SO,18656,165
11/28/2015,Calgary Flames,2,San Jose Sharks,5,,17283,141
11/28/2015,Columbus Blue Jackets,1,St. Louis Blues,3,,19227,142
11/28/2015,New York Islanders,3,Tampa Bay Lightning,2,,19092,143
11/28/2015,Washington Capitals,4,Toronto Maple Leafs,2,,19053,145
11/29/2015,Florida Panthers,2,Detroit Red Wings,1,OT,20027,158
11/30/2015,Vancouver Canucks,0,Anaheim Ducks,4,,14006,149
11/30/2015,Colorado Avalanche,3,New York Islanders,5,,11585,146
11/30/2015,Carolina Hurricanes,3,New York Rangers,4,,18006,146
11/30/2015,Edmonton Oilers,0,Toronto Maple Leafs,3,,19559,147
12/1/2015,Dallas Stars,3,Calgary Flames,4,SO,19237,152
12/1/2015,Minnesota Wild,2,Chicago Blackhawks,1,,21580,149
12/1/2015,Buffalo Sabres,4,Detroit Red Wings,5,SO,20027,167
12/1/2015,Vancouver Canucks,1,Los Angeles Kings,2,OT,18230,150
12/1/2015,Columbus Blue Jackets,1,Montreal Canadiens,2,,21288,148
12/1/2015,Colorado Avalanche,2,New Jersey Devils,1,,14019,145
12/1/2015,Arizona Coyotes,2,Nashville Predators,5,,15091,148
12/1/2015,Philadelphia Flyers,4,Ottawa Senators,2,,17010,154
12/1/2015,Pittsburgh Penguins,5,San Jose Sharks,1,,16624,147
12/1/2015,Florida Panthers,3,St. Louis Blues,1,,15395,148
12/2/2015,Tampa Bay Lightning,2,Anaheim Ducks,1,,14741,160
12/2/2015,Boston Bruins,2,Edmonton Oilers,3,SO,16839,169
12/2/2015,New York Rangers,1,New York Islanders,2,SO,15795,158
12/2/2015,Toronto Maple Leafs,1,Winnipeg Jets,6,,15294,147
12/3/2015,New Jersey Devils,5,Carolina Hurricanes,1,,9254,155
12/3/2015,Arizona Coyotes,1,Detroit Red Wings,5,,20027,151
12/3/2015,Toronto Maple Leafs,0,Minnesota Wild,1,,18880,146
12/3/2015,Washington Capitals,3,Montreal Canadiens,2,,21288,150
12/3/2015,Florida Panthers,2,Nashville Predators,1,,15405,146
12/3/2015,Colorado Avalanche,2,New York Rangers,1,,18006,139
