Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
3/29/2016,Chicago Blackhawks,1,Minnesota Wild,4,,19190,139
3/29/2016,Detroit Red Wings,3,Montreal Canadiens,4,,21288,159
3/29/2016,Boston Bruins,1,New Jersey Devils,2,,15486,147
3/29/2016,Carolina Hurricanes,1,New York Islanders,2,SO,13733,155
3/29/2016,Buffalo Sabres,4,Pittsburgh Penguins,5,SO,18513,168
3/29/2016,Colorado Avalanche,1,St. Louis Blues,3,,19263,147
3/29/2016,San Jose Sharks,4,Vancouver Canucks,1,,18315,150
3/30/2016,Calgary Flames,3,Anaheim Ducks,8,,16004,152
3/30/2016,Washington Capitals,1,Philadelphia Flyers,2,SO,19850,170
3/30/2016,Ottawa Senators,2,Winnipeg Jets,1,,15294,138
3/31/2016,Toronto Maple Leafs,1,Buffalo Sabres,4,,18873,160
3/31/2016,New York Rangers,3,Carolina Hurricanes,4,,16336,151
3/31/2016,Arizona Coyotes,1,Dallas Stars,4,,18532,148
3/31/2016,New Jersey Devils,2,Florida Panthers,3,,15803,154
3/31/2016,Calgary Flames,0,Los Angeles Kings,3,,18417,141
3/31/2016,Ottawa Senators,3,Minnesota Wild,2,,19032,140
3/31/2016,Columbus Blue Jackets,3,New York Islanders,4,,13857,150
3/31/2016,Nashville Predators,2,Pittsburgh Penguins,5,,18560,146
3/31/2016,Vancouver Canucks,4,San Jose Sharks,2,,15689,148
3/31/2016,Montreal Canadiens,3,Tampa Bay Lightning,0,,19092,149
4/1/2016,Vancouver Canucks,3,Anaheim Ducks,2,,16331,149
4/1/2016,Washington Capitals,4,Colorado Avalanche,2,,18049,144
4/1/2016,Minnesota Wild,2,Detroit Red Wings,3,,20027,145
4/1/2016,Boston Bruins,6,St. Louis Blues,5,,19202,160
4/1/2016,Chicago Blackhawks,5,Winnipeg Jets,4,OT,15294,158
4/2/2016,Washington Capitals,0,Arizona Coyotes,3,,17125,138
4/2/2016,Columbus Blue Jackets,5,Carolina Hurricanes,1,,11542,146
4/2/2016,Calgary Flames,5,Edmonton Oilers,0,,16839,145
4/2/2016,Montreal Canadiens,3,Florida Panthers,4,,17427,158
4/2/2016,Dallas Stars,3,Los Angeles Kings,2,,18230,172
4/2/2016,San Jose Sharks,3,Nashville Predators,2,SO,17113,160
4/2/2016,Pittsburgh Penguins,5,New York Islanders,0,,15795,156
4/2/2016,Buffalo Sabres,4,New York Rangers,3,,18006,151
4/2/2016,Ottawa Senators,2,Philadelphia Flyers,3,,19578,143
4/2/2016,New Jersey Devils,1,Tampa Bay Lightning,3,,19092,155
4/2/2016,Detroit Red Wings,3,Toronto Maple Leafs,2,,19371,150
4/3/2016,Dallas Stars,1,Anaheim Ducks,3,,16585,144
4/3/2016,Boston Bruins,4,Chicago Blackhawks,6,,22156,151
4/3/2016,St. Louis Blues,5,Colorado Avalanche,1,,15485,154
4/3/2016,Philadelphia Flyers,2,Pittsburgh Penguins,6,,18673,157
4/3/2016,Minnesota Wild,1,Winnipeg Jets,5,,15294,145
4/4/2016,New York Rangers,4,Columbus Blue Jackets,2,,15951,149
4/4/2016,Tampa Bay Lightning,2,New York Islanders,5,,13106,145
4/4/2016,Arizona Coyotes,2,St. Louis Blues,5,,19465,150
4/4/2016,Florida Panthers,4,Toronto Maple Leafs,3,,18846,170
4/4/2016,Los Angeles Kings,2,Vancouver Canucks,3,,18415,144
4/5/2016,Winnipeg Jets,2,Anaheim Ducks,1,OT,16743,152
4/5/2016,Carolina Hurricanes,2,Boston Bruins,1,SO,17565,160
4/5/2016,Los Angeles Kings,5,Calgary Flames,4,OT,18438,153
4/5/2016,Arizona Coyotes,2,Chicago Blackhawks,6,,21884,142
4/5/2016,San Jose Sharks,3,Minnesota Wild,0,,19061,141
4/5/2016,Florida Panthers,4,Montreal Canadiens,1,,21288,142
4/5/2016,Buffalo Sabres,3,New Jersey Devils,1,,14773,144
4/5/2016,Colorado Avalanche,3,Nashville Predators,4,,17113,155
4/5/2016,Tampa Bay Lightning,2,New York Rangers,3,,18006,150
4/5/2016,Pittsburgh Penguins,5,Ottawa Senators,3,,19284,148
4/5/2016,New York Islanders,4,Washington Capitals,3,OT,18506,153
4/6/2016,Philadelphia Flyers,0,Detroit Red Wings,3,,20027,164
4/6/2016,Vancouver Canucks,2,Edmonton Oilers,6,,16839,151
4/6/2016,Columbus Blue Jackets,5,Toronto Maple Leafs,1,,18837,143
4/7/2016,Detroit Red Wings,2,Boston Bruins,5,,17565,148
4/7/2016,Montreal Canadiens,4,Carolina Hurricanes,2,,15120,147
4/7/2016,Vancouver Canucks,3,Calgary Flames,7,,19289,143
4/7/2016,St. Louis Blues,2,Chicago Blackhawks,1,OT,22075,151
4/7/2016,Colorado Avalanche,2,Dallas Stars,4,,18532,147
4/7/2016,Anaheim Ducks,1,Los Angeles Kings,2,,18511,159
4/7/2016,Tampa Bay Lightning,4,New Jersey Devils,2,,15536,144
4/7/2016,Arizona Coyotes,2,Nashville Predators,3,OT,17113,152
4/7/2016,New York Islanders,4,New York Rangers,1,,18006,140
4/7/2016,Florida Panthers,1,Ottawa Senators,3,,19165,146
4/7/2016,Toronto Maple Leafs,4,Philadelphia Flyers,3,OT,19674,162
4/7/2016,Winnipeg Jets,5,San Jose Sharks,4,,15900,146
4/7/2016,Pittsburgh Penguins,4,Washington Capitals,3,OT,18506,157
4/8/2016,Columbus Blue Jackets,4,Buffalo Sabres,1,,19070,140
4/9/2016,Ottawa Senators,6,Boston Bruins,1,,17565,157
4/9/2016,Chicago Blackhawks,4,Columbus Blue Jackets,5,OT,19177,151
4/9/2016,Anaheim Ducks,5,Colorado Avalanche,3,,17932,147
4/9/2016,Nashville Predators,2,Dallas Stars,3,,18532,149
4/9/2016,Carolina Hurricanes,2,Florida Panthers,5,,18434,144
4/9/2016,Winnipeg Jets,4,Los Angeles Kings,3,SO,18449,166
4/9/2016,Calgary Flames,2,Minnesota Wild,1,,19247,146
4/9/2016,Tampa Bay Lightning,2,Montreal Canadiens,5,,21288,155
4/9/2016,Toronto Maple Leafs,1,New Jersey Devils,5,,16514,139
4/9/2016,Buffalo Sabres,4,New York Islanders,3,OT,14811,149
4/9/2016,Detroit Red Wings,2,New York Rangers,3,,18006,151
4/9/2016,Pittsburgh Penguins,1,Philadelphia Flyers,3,,19919,155
4/9/2016,Arizona Coyotes,0,San Jose Sharks,1,,17562,139
4/9/2016,Washington Capitals,5,St. Louis Blues,1,,19610,143
4/9/2016,Edmonton Oilers,3,Vancouver Canucks,4,SO,18570,172
4/10/2016,Philadelphia Flyers,5,New York Islanders,2,,14244,138
4/10/2016,Anaheim Ducks,2,Washington Capitals,0,,18506,142
